duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,attack
10,tcp,"ntlm,dce_rpc",SF,487,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,45,21,0.0,0.0,0.0,0.0,0.044444444444444446,0.0,0.0,0.0,cryptomining
12,tcp,dce_rpc,RSTO,140,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95,46,0.0,0.0,0.0,0.0,0.031578947368421054,0.0,0.0,0.0,cryptomining
11,tcp,"ntlm,dce_rpc",SF,487,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,90,43,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,cryptomining
14,tcp,"ntlm,dce_rpc",SF,487,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,78,37,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,cryptomining
13,tcp,"ntlm,dce_rpc",SF,487,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,31,14,0.0,0.0,0.0,0.0,0.06451612903225806,0.0,0.0,0.0,cryptomining
12,tcp,dce_rpc,RSTO,140,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,10,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,cryptomining
12,tcp,dce_rpc,RSTO,140,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,4,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,cryptomining
11,tcp,"ntlm,dce_rpc",SF,487,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18,8,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,cryptomining
10,tcp,dce_rpc,RSTO,140,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65,31,0.0,0.0,0.0,0.0,0.046153846153846156,0.0,0.0,0.0,cryptomining
0,udp,domain_u,S0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58,2,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,cryptomining
12,tcp,"ntlm,dce_rpc",SF,487,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6,2,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,cryptomining
12,tcp,"ntlm,dce_rpc",SF,487,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10,4,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,cryptomining
0,udp,domain_u,S0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,1,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,cryptomining
12,tcp,dce_rpc,RSTO,140,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,12,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,cryptomining
13,tcp,dce_rpc,RSTO,140,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,9,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,cryptomining
12,tcp,"ntlm,dce_rpc",SF,487,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,27,12,0.0,0.0,0.0,0.0,0.07407407407407407,0.0,0.0,0.0,cryptomining
12,tcp,"ntlm,dce_rpc",SF,487,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,80,38,0.0,0.0,0.0,0.0,0.0375,0.0,0.0,0.0,cryptomining
10,tcp,"ntlm,dce_rpc",SF,487,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,66,31,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,cryptomining
12,tcp,"ntlm,dce_rpc",SF,487,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,60,28,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,cryptomining
10,tcp,dce_rpc,RSTO,140,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,13,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,cryptomining
12,tcp,"ntlm,dce_rpc",SF,487,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,64,30,0.0,0.0,0.0,0.0,0.046875,0.0,0.0,0.0,cryptomining
11,tcp,dce_rpc,RSTO,140,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89,43,0.0,0.0,0.0,0.0,0.033707865168539325,0.0,0.0,0.0,cryptomining
10,tcp,dce_rpc,RSTO,140,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81,39,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,cryptomining
10,tcp,"ntlm,dce_rpc",SF,487,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,29,13,0.0,0.0,0.0,0.0,0.06896551724137931,0.0,0.0,0.0,cryptomining
10,tcp,dce_rpc,RSTO,140,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61,29,0.0,0.0,0.0,0.0,0.04918032786885246,0.0,0.0,0.0,cryptomining
12,tcp,dce_rpc,RSTO,140,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,24,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,cryptomining
10,tcp,"ntlm,dce_rpc",SF,487,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,82,39,0.0,0.0,0.0,0.0,0.036585365853658534,0.0,0.0,0.0,cryptomining
12,tcp,dce_rpc,RSTO,140,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75,36,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,cryptomining
13,tcp,"ntlm,dce_rpc",SF,487,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20,9,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,cryptomining
10,tcp,dce_rpc,RSTO,140,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,25,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,cryptomining
12,tcp,dce_rpc,RSTO,140,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,6,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,cryptomining
